mssv,namBD,TotNghiep,Label
b35c4d81xpvaibaexe+4hxkfaqwuhmpsx+ypsjqx,1,False,TreHan
58e06bd3xpvaibaexe+4hxkfaqwuhil+w/2ugtml,2013,True,DungHan
0a2744acxpvaibaexe+4hxkfaqwuhjdfgwekvxxz,1,True,TreHan
51e1c3e0xpvaibaexe+4hxkfaqwuhlp2zzmiiyre,2013,True,DungHan
bdedd44dxpvaibaexe+4hxkfaqwuhaqgsgtqeios,1,False,TreHan
bc40ef90xpvaibaexe+4hxkfaqwuhcn4cgcxf0tj,1,True,TreHan
a70f6eccxpvaibaexe+4hxkfaqwuhgfmu3pmgcng,2013,False,TreHan
530fe4e9xpvaibaexe+4hxkfaqwuhfselpa2njhn,1,True,TreHan
3e756495xpvaibaexe9p07hcrvmhca0nlhgm6qsn,2013,False,TreHan
5e4374b1xpvaibaexe9p07hcrvmhccxtnaknc9wy,2013,False,TreHan
53d6b6a5xpvaibaexe9p07hcrvmhcdwevna10bwl,1,False,TreHan
0d5828baxpvaibaexe9p07hcrvmhcf8zveiq5xwl,2013,False,TreHan
981c7989xpvaibaexe9p07hcrvmhccxhupzwlaj2,1,True,TreHan
f8e79c58xpvaibaexe9p07hcrvmhcrobnyhyqd/n,1,False,TreHan
538fdefexpvaibaexe9p07hcrvmhce3unm2xvnxe,2013,True,DungHan
8b7499d5xpvaibaexe9p07hcrvmhccn1vuplzj5m,1,False,TreHan
9d24935axpvaibaexe9p07hcrvmhcak9iqtze/ls,2013,False,TreHan
0f6fd99fxpvaibaexe9hpqqhqoopydgyikrryin1,1,False,TreHan
64e9fde3xpvaibaexe9hpqqhqoopystw/r4lohbb,2013,True,DungHan
31344271xpvaibaexe9hpqqhqoopyq/t6/ypd1bo,1,True,TreHan
0ecfdce2xpvaibaexe9hpqqhqoopyenrltjjylmh,2013,True,DungHan
83845261xpvaibaexe9hpqqhqoopyyvq0zhwjv2w,2013,True,DungHan
02fa9b28xpvaibaexe9hpqqhqoopyx9isjjx1yiu,1,False,TreHan
952c9bd7xpvaibaexe9hpqqhqoopyvkufzf5blys,1,False,TreHan
76cacacbxpvaibaexe9hpqqhqoopyv0cvrwnupgz,2013,True,DungHan
f832105bxpvaibaexe+cd1fkelqxl8dha7yinstm,1,False,TreHan
209dffa3xpvaibaexe+cd1fkelqxl0w/ciugdc4i,2013,True,DungHan
2527bab9xpvaibaexe+cd1fkelqxl9jgstboq3t8,1,True,TreHan
3e437e83xpvaibaexe+cd1fkelqxl3amjmxrtddl,2013,True,DungHan
e997d336xpvaibaexe+cd1fkelqxl3gg+iexlrll,2013,False,TreHan
4d645550xpvaibaexe+cd1fkelqxl9313y/yapxl,2013,True,DungHan
47140b5bxpvaibaexe+cd1fkelqxl341hodw+e7i,1,False,TreHan
8719aff0xpvaibaexe+cd1fkelqxlxhcg1eahaje,1,False,TreHan
85ab9a11xpvaibaexe+cd1fkelqxl3rmzzdf2nuw,2013,True,DungHan
a0cbac25xpvaibaexe/pgaannwvbuig+w572qfzr,1,True,TreHan
d39ebba2xpvaibaexe/pgaannwvbuh5ucb2oerfm,2013,True,DungHan
479e77a5xpvaibaexe/pgaannwvbunsider/n3m6,2013,False,TreHan
8219ea1dxpvaibaexe/pgaannwvbuawbugiapcg8,2013,False,TreHan
5b6eee16xpvaibaexe/pgaannwvbukb+697alta7,2013,True,DungHan
4bf55c16xpvaibaexe/pgaannwvbulyxtwnjnzcf,2013,False,TreHan
d8b81312xpvaibaexe/pgaannwvbuifmrv3br2wn,2013,True,DungHan
a0e35b97xpvaibaexe/pgaannwvbugqebtzipkbn,2013,False,TreHan
5e0fc4ebxpvaibaexe/pgaannwvbuczkileflh7i,2013,False,TreHan
2d110b13xpvaibaexe+lo6ejkhwaqqmgtsf0se6i,2013,False,TreHan
8688239bxpvaibaexe+lo6ejkhwaqdxlz0hnoymx,1,True,TreHan
d06a6062xpvaibaexe+lo6ejkhwaqfw61nrig7m4,2013,False,TreHan
8dd54882xpvaibaexe+lo6ejkhwaqfudan2pbvrw,2013,True,DungHan
553f83d0xpvaibaexe+lo6ejkhwaqxmbzakiceyv,2013,True,DungHan
4d3a7564xpvaibaexe+lo6ejkhwaqxs675wwbm48,2013,True,DungHan
51bd86dfxpvaibaexe+lo6ejkhwaqbdd3ainskar,1,True,TreHan
c83a25dcxpvaibaexe9x5bpekoa0mpwrb2a9cxkr,1,True,TreHan
a2a984f7xpvaibaexe9x5bpekoa0mp7uv1irtaed,1,True,TreHan
91c557bbxpvaibaexe9x5bpekoa0mhzvi3xnxife,2013,True,DungHan
0e631785xpvaibaexe9x5bpekoa0mgpwttwg2rv7,2013,True,DungHan
85fa5549xpvaibaexe9x5bpekoa0msfo9rqkadmb,2013,True,DungHan
5032dd33xpvaibaexe9x5bpekoa0mil88xvsir4r,2013,True,DungHan
49daaf86xpvaibaexe9x5bpekoa0mvchmz6rxbhe,2013,False,TreHan
9a277123xpvaibaexe9x5bpekoa0mmvf3uziq5oi,2013,False,TreHan
da4648baxpvaibaexe8ckeix0kseehu30caak2wt,1,True,TreHan
4bbc8929xpvaibaexe8ckeix0kseec2d6tqzpwfy,1,True,TreHan
0df7e48fxpvaibaexe8ckeix0kseel2w5fd8xm6m,1,True,TreHan
0d5f945expvaibaexe8ckeix0kseemkbwidrc9so,2013,True,DungHan
93a9cf9cxpvaibaexe8ckeix0kseebrxpslhxsvc,2013,True,DungHan
e4b6df8fxpvaibaexe8ckeix0kseeovnfnmexxan,1,True,TreHan
1ad297ddxpvaibaexe8ckeix0kseeaegfbwnr/en,1,False,TreHan
6ecc84e3xpvaibaexe80ggmwunektx6palidxbtb,2013,True,DungHan
d3602269xpvaibaexe80ggmwunekt3wj11uigulq,1,False,TreHan
302c659fxpvaibaexe80ggmwunekt9hqe57p7s6c,2013,True,DungHan
9060ae5fxpvaibaexe80ggmwunekt7ow9cjiqrpl,2013,True,DungHan
741baeacxpvaibaexe80ggmwunekt1wc4lrex8cx,2013,True,DungHan
3509a991xpvaibaexe80ggmwunekt+evwuzt6lqj,1,False,TreHan
11f38b68xpvaibaexe80ggmwunekt2/+0d+ftnad,1,True,TreHan
740bf475xpvaibaexe80ggmwunekt0dmgogib8ko,1,True,TreHan
46187904xpvaibaexe80ggmwunekt+rbnozgeobh,2013,False,TreHan
8c0e9865xpvaibaexe80ggmwunekt1erejxtk1w6,1,False,TreHan
cb86cee4xpvaibaexe83etin4mi2njakllhqpqif,1,True,TreHan
6d3a87a7xpvaibaexe83etin4mi2nuc2ln7/pp+p,1,True,TreHan
3cb24347xpvaibaexe83etin4mi2ntso94rp+at8,1,True,TreHan
314a9efdxpvaibaexe83etin4mi2ntxuuylz7okp,1,True,TreHan
e05f2deaxpvaibaexe83etin4mi2nrg4zhf61jn+,2013,False,TreHan
694330bcxpvaibaexe83etin4mi2ngvw488wcp/k,1,True,TreHan
03b1bf87xpvaibaexe83etin4mi2ns5qclkpljkc,2013,True,DungHan
6920b9aaxpvaibaexe83etin4mi2ns6nzhluaihe,1,True,TreHan
ab1f6aa8xpvaibaexe83etin4mi2nszto21zu7z9,1,True,TreHan
73fcd503xpvaibaexe/ykalync3m942m9zzkluod,1,True,TreHan
b8b283d5xpvaibaexe/ykalync3m91sqm4cv+tqd,2013,True,DungHan
2f237aa9xpvaibaexe/ykalync3m967dom4wk2ij,1,False,TreHan
f309234expvaibaexe/ykalync3m9+ibo6izj0cn,2013,True,DungHan
81d2ab1fxpvaibaexe/ykalync3m9zttf89k7owj,2013,True,DungHan
5792ef1axpvaibaexe/ykalync3m90v7yzvt+oyp,2013,True,DungHan
001bb05expvaibaexe/ykalync3m92bzm+vhzyc0,2013,False,TreHan
4283e94dxpvaibaexe/ykalync3m95g1fyl7q9dg,2013,True,DungHan
2d469f82xpvaibaexe/ykalync3m9yanvuerkywr,1,False,TreHan
85c41091xpvaibaexe9ikirwqei6/e3o02jlnmlt,2013,True,DungHan
29dac8e5xpvaibaexe9ikirwqei6/aabaazmbpha,1,True,TreHan
42a0a8eexpvaibaexe9ikirwqei6/h1clhjwal6i,1,True,TreHan
c64d90e5xpvaibaexe9ikirwqei6/fxzkk7l9+s5,2013,False,TreHan
c4ef60b5xpvaibaexe9ikirwqei6/ntxytyp5ig8,2013,False,TreHan
08bc841dxpvaibaexe9ikirwqei6/l0wwllqs16x,2013,False,TreHan
6aef2ec0xpvaibaexe86736b6ol+/ewtijhvlvrj,2013,False,TreHan
f99ce6dexpvaibaexe86736b6ol+/o3zqu1aw1/c,2013,True,DungHan
e934bcd3xpvaibaexe86736b6ol+/mlj5vorqv8u,1,False,TreHan
7259e977xpvaibaexe86736b6ol+/preemy8fts4,2013,True,DungHan
a7930fd4xpvaibaexe86736b6ol+/nwyaivhptcm,2013,False,TreHan
33f840bexpvaibaexe86736b6ol+/h7p3cx/tka4,2013,False,TreHan
7b2e75bdxpvaibaexe86736b6ol+/bczp68ockkb,2013,False,TreHan
678a7e53xpvaibaexe86736b6ol+/jgt4pokxwzn,1,True,TreHan
6f75613cxpvaibaexe8/3inqysorbxrmfjiedct7,2013,True,DungHan
5a122a3dxpvaibaexe8/3inqysorby1ytn00kxsc,1,False,TreHan
2156dac0xpvaibaexe8/3inqysorb4spm8jam1aj,2013,False,TreHan
11d7fbb7xpvaibaexe8/3inqysorby7kyf2iznei,1,False,TreHan
9b47d5aexpvaibaexe8/3inqysorb2yc7gdxyezc,2013,True,DungHan
ffdfd671xpvaibaexe8/3inqysorb8gpuwsq8fwa,2013,False,TreHan
e5e0d43fxpvaibaexe8/3inqysorb3l2ir3l7h2w,2013,False,TreHan
1d719539xpvaibaexe8/3inqysorb0av1qvzgoa5,1,True,TreHan
1a43fba2xpvaibaexe9lf2o7vejwngmxmytmcfqu,1,True,TreHan
c02be079xpvaibaexe9lf2o7vejwnqkpnwio0vrs,1,True,TreHan
6941edcfxpvaibaexe9lf2o7vejwnigzwdbexchf,1,False,TreHan
3622e58bxpvaibaexe9lf2o7vejwnjkh+xdoxpbr,2013,False,TreHan
603115a9xpvaibaexe9lf2o7vejwnmxlsu7sojkq,1,True,TreHan
a5889011xpvaibaexe9lf2o7vejwnht67pu11g7v,1,False,TreHan
b4df0e0bxpvaibaexe9lf2o7vejwnjznp3xerpyn,1,False,TreHan
17946c80xpvaibaexe9lf2o7vejwnojr7ptzczwm,2013,True,DungHan
a27e2507xpvaibaexe+yu1j0ocviqqmevvgfizi+,2013,False,TreHan
61886879xpvaibaexe+yu1j0ocviqftuk2ebvhjz,1,False,TreHan
dea3783expvaibaexe+yu1j0ocviqzor0fwybaoj,1,True,TreHan
caf1c679xpvaibaexe+yu1j0ocviqc3aovuiyn2y,2013,True,DungHan
9e398853xpvaibaexe+yu1j0ocviqeu3f7/hmvao,2013,True,DungHan
f94de2cdxpvaibaexe+yu1j0ocviqvvrg08bkchw,1,False,TreHan
fa254441xpvaibaexe+yu1j0ocviqedypspz8aww,2013,False,TreHan
eb87a112xpvaibaexe+yu1j0ocviqsbxkj24nkqq,2013,True,DungHan
a4eeb45expvaibaexe+wmtnhlfgiwjn3iuw7uj8e,1,False,TreHan
02c4644fxpvaibaexe+wmtnhlfgiwhu0vsxu3tyn,2013,True,DungHan
b3a50c98xpvaibaexe+wmtnhlfgiwn75t0yboedj,2013,False,TreHan
eafb8611xpvaibaexe+wmtnhlfgiwhutxutju+op,2013,True,DungHan
ead40691xpvaibaexe+wmtnhlfgiwtb87ctjmzyb,2013,False,TreHan
6b2f14ccxpvaibaexe+wmtnhlfgiwsa71h+ulll3,2013,True,DungHan
66b24040xpvaibaexe+wmtnhlfgiwn9isiemrgpv,1,True,TreHan
08890ff6xpvaibaexe+wmtnhlfgiwlwvqajnsgpn,2013,False,TreHan
177e1625xpvaibaexe+wmtnhlfgiwqlkpqjcrqi5,2013,False,TreHan
2974f9d5xpvaibaexe+lwq621apacrtrvvgbsurf,2013,True,DungHan
920a152expvaibaexe+lwq621apacfvqpvb0aqxr,1,False,TreHan
12a9523fxpvaibaexe+lwq621apacfiody2wojet,2013,True,DungHan
e62a53dexpvaibaexe+lwq621apacberjd/pd6me,1,True,TreHan
2fb67786xpvaibaexe+lwq621apacelpphx2sj6r,1,True,TreHan
c34827c5xpvaibaexe+lwq621apacyn/g0l78ir9,2013,False,TreHan
0fc485b7xpvaibaexe+lwq621apacwnsixsrdxsm,2013,True,DungHan
b3134f24xpvaibaexe+lwq621apaczlqatrpnif4,2013,True,DungHan
45213e72xpvaibaexe/loccskaoio/d9phcrupc/,1,True,TreHan
132730f3xpvaibaexe/loccskaoio3eucdxcyg9f,1,True,TreHan
a7480f67xpvaibaexe/loccskaoio75myb5p3ldq,2013,True,DungHan
f751be36xpvaibaexe/loccskaoio+4lauqrfapr,1,False,TreHan
c06d6804xpvaibaexe/loccskaoiozn1wuehqe1s,2013,True,DungHan
0ea8d3d2xpvaibaexe/loccskaoiozxorymghvil,2013,True,DungHan
979a928axpvaibaexe/loccskaoio+majg9wgnrj,2013,True,DungHan
9fda2448xpvaibaexe/loccskaoio4pc+m4anvn4,2013,False,TreHan
7a7166daxpvaibaexe83v/kfvw2bbz0o/kvhzc30,2013,True,DungHan
29046716xpvaibaexe83v/kfvw2bbr3wivsbjf7n,2013,True,DungHan
741a5568xpvaibaexe83v/kfvw2bbx1pd9yzofg+,2013,True,DungHan
2049e34dxpvaibaexe83v/kfvw2bbsm6mmpn3kn9,1,False,TreHan
b646c3c8xpvaibaexe83v/kfvw2bbvmhvt6fez4k,2013,True,DungHan
27c73c4cxpvaibaexe83v/kfvw2bbek/nsgnfc2g,2013,True,DungHan
80790c23xpvaibaexe83v/kfvw2bbdhxazukwyd8,1,False,TreHan
9caf3cdbxpvaibaexe83v/kfvw2bbf/inpsmd2jy,1,True,TreHan
cab6d6adxpvaibaexe+1j/aqdkpm27nzkkmnxryy,2013,True,DungHan
e95e7c6dxpvaibaexe+1j/aqdkpm22dhf6p99fdj,2013,True,DungHan
2c9e3006xpvaibaexe+1j/aqdkpm2yvdjmi0fdgl,2013,True,DungHan
50f45e0fxpvaibaexe+1j/aqdkpm28+w/hggnhn2,2013,True,DungHan
a09f2752xpvaibaexe+1j/aqdkpm215n3vvhdq2x,1,False,TreHan
a92e401axpvaibaexe+1j/aqdkpm23n3jq7am/ra,2013,False,TreHan
42eb4a9dxpvaibaexe+1j/aqdkpm28lnl/yx0gv5,2013,False,TreHan
7420f19fxpvaibaexe+1j/aqdkpm27otdgzsa+ut,1,False,TreHan
632326bexpvaibaexe+1j/aqdkpm23xs0ljo7elx,1,True,TreHan
781b05edxpvaibaexe+1j/aqdkpm28lybjvxl6wn,2013,False,TreHan
52a13a56xpvaibaexe8y+/3ur2pktbzkglmhndae,2013,True,DungHan
6243a4c3xpvaibaexe8y+/3ur2pktkxbgdambgvn,2013,True,DungHan
70688be9xpvaibaexe8y+/3ur2pktp74qdoblprc,2013,False,TreHan
fb623556xpvaibaexe8y+/3ur2pktnbh/fe4kqis,1,True,TreHan
8850b56axpvaibaexe8y+/3ur2pktm01dracefoq,2013,True,DungHan
2c674c46xpvaibaexe8y+/3ur2pktognxs8ofvnz,1,False,TreHan
52f1243bxpvaibaexe8y+/3ur2pktdwl/5oa1ytb,1,True,TreHan
3f6744f0xpvaibaexe8y+/3ur2pktisbbfdhrrin,1,False,TreHan
1d74c87fxpvaibaexe8y+/3ur2pktkefwioefkn0,1,False,TreHan
eb858a9expvaibaexe+kwir/vxjl06gmqan1u5lh,2013,False,TreHan
797d94bcxpvaibaexe+kwir/vxjl0xams344urfm,1,False,TreHan
e8100f85xpvaibaexe+kwir/vxjl06p43mqkwkpk,1,True,TreHan
52b1cc2dxpvaibaexe+kwir/vxjl0w+fyuw1abq7,2013,False,TreHan
15c33cc5xpvaibaexe+kwir/vxjl0wyohop14jzj,2013,False,TreHan
52d6e13axpvaibaexe+kwir/vxjl04mdfk2cgeql,2013,False,TreHan
9a2b00e7xpvaibaexe+kwir/vxjl0y8ceqb0jdrp,1,True,TreHan
cf807904xpvaibaexe+kwir/vxjl0xc3ghl3xt9p,2013,False,TreHan
6426d277xpvaibaexe+kwir/vxjl04gqln5sec66,1,False,TreHan
40f7e8d0xpvaibaexe+nzbq3b0xehfcwxlmoc4pj,2013,True,DungHan
c307f053xpvaibaexe+nzbq3b0xehx8pabyu6iv1,2013,True,DungHan
23a5ce7expvaibaexe+nzbq3b0xehb5k9/vzpsul,1,True,TreHan
0e8ecfa9xpvaibaexe+nzbq3b0xehybjv4wky1zv,1,True,TreHan
92ca755cxpvaibaexe+nzbq3b0xehuef59ddved4,2013,False,TreHan
b4303cd0xpvaibaexe+nzbq3b0xehvoljxuzryzx,2013,True,DungHan
a7916d60xpvaibaexe+nzbq3b0xehxdvky778k5c,1,True,TreHan
f188f59axpvaibaexe+nzbq3b0xehx0gn3eygcol,1,True,TreHan
c1306640xpvaibaexe+nzbq3b0xehx/ozbtzk5f7,2013,False,TreHan
66389e7fxpvaibaexe9jjgnhrmbjflqzajn7gwvb,1,True,TreHan
2bba5161xpvaibaexe9jjgnhrmbjfkh/y5p5juky,1,True,TreHan
4e60f742xpvaibaexe9jjgnhrmbjfaqoiehyy/vf,2013,False,TreHan
62654f5dxpvaibaexe9jjgnhrmbjfpizxxezlnxy,1,True,TreHan
45b8d2afxpvaibaexe9jjgnhrmbjfdlsntjouvmt,2013,False,TreHan
86b0b88fxpvaibaexe9jjgnhrmbjfithgymg4ggs,1,False,TreHan
567e5b30xpvaibaexe9jjgnhrmbjfchpxrna9wkt,1,False,TreHan
19aa9696xpvaibaexe9jjgnhrmbjfoyfng9lpbay,1,True,TreHan
98fad5f6xpvaibaexe9fafwyru+nptbcsqhyrp9l,1,True,TreHan
6e351582xpvaibaexe9fafwyru+nprk3ew8optya,1,True,TreHan
cc0d41f6xpvaibaexe9fafwyru+npmqir62vbh95,1,True,TreHan
667d7118xpvaibaexe9fafwyru+npl+ytdtch0qt,2013,False,TreHan
5db7334bxpvaibaexe9fafwyru+nplkr/fpgemw3,1,False,TreHan
2bd8acbaxpvaibaexe9fafwyru+nps7tcct3lrtv,2013,False,TreHan
061a670axpvaibaexe9fafwyru+npkvjumt/czs9,2013,False,TreHan
9d375e5axpvaibaexe9fafwyru+npqdttxck8k1h,1,False,TreHan
bb711deaxpvaibaexe9fafwyru+npi5+4ho3ngdi,1,True,TreHan
105a1756xpvaibaexe9kdsvv3crkmqk+9a3jnn+s,1,True,TreHan
4efdd87axpvaibaexe9kdsvv3crkmwdqwqovdwm7,1,False,TreHan
93bb9690xpvaibaexe9kdsvv3crkmxp6kszgklsu,2013,False,TreHan
748cfa2axpvaibaexe9kdsvv3crkmehu/cmv2urx,1,False,TreHan
1c65db23xpvaibaexe9kdsvv3crkmwlqfw5w0dwv,1,False,TreHan
c7c8f4d5xpvaibaexe9kdsvv3crkmtcsnfz1jdkt,2013,True,DungHan
618bc5b5xpvaibaexe9kdsvv3crkmbmvps3944tl,1,False,TreHan
2f08e330xpvaibaexe9kdsvv3crkmcuajggb+quv,2013,True,DungHan
6f3c0d69xpvaibaexe+y5cb/5gt3mg008osd7bbm,1,False,TreHan
62da4cdcxpvaibaexe+y5cb/5gt3mny76+igupff,1,True,TreHan
e907a4daxpvaibaexe+y5cb/5gt3mmetpei9uuce,2013,True,DungHan
844fc6f6xpvaibaexe+y5cb/5gt3mjxemi5bzkp2,2013,True,DungHan
